"","Category","Species","Taxon","Order","Body.Mass..g.","LCT...C.","UCT...C.","Note.on.UCT.","TNZ...C.","Latitudinal.center...N.","Longitudinal.center...W.","Maximum.temperature","Minimum.temperature","Latitudinal.range","Range.size..Grid...","Latitudinal.maximum.....","Latitudinal.minimum.....","Elevation.maximum..meters.","Elevation.minimum..meters.","References"
"1","Birds","Anas aucklandica","Anatidae","Anseriformes",373.1,30,37,"1a",7,-50.7,165.99,13.1,0.65,0,2,50.7,50.7,200,0,"McNab 2003"
"2","Birds","Anas castanea","Anatidae","Anseriformes",483.3,24,37,"1a",13,-29.53,134.29,39.03,-3.3,27.86,1478,43.47,15.6,NA,NA,"McNab 2003"
"3","Birds","Anas gracilis","Anatidae","Anseriformes",393.7,30,39,"1a",9,-22.02,145.38,41.61,-4.38,49.48,4135,46.77,0,NA,NA,"McNab 2003"
"4","Birds","Anas rhynchotis","Anatidae","Anseriformes",508,22,37,"1a",15,-30.41,145.75,41.13,-4.38,32.71,2085,46.77,14.05,NA,NA,"McNab 2003"
"5","Birds","Aythya novaeseelandiae","Anatidae","Anseriformes",488.4,16,33,"1a",17,-40.92,172.54,24.7,-4.38,12.65,169,47.25,34.6,1000,0,"McNab 2003"
"6","Birds","Hymenolaimus malacorhynchos","Anatidae","Anseriformes",717.1,12,38,"1a",26,-41.3,172.54,24.02,-4.38,9.97,130,46.29,36.32,1050,0,"McNab 2003"
"7","Birds","Collocalia esculenta","Apodidae","Apodiformes",6.8,31.5,34,NA,2.5,-2.1,130.72,35.33,6.58,41.13,1811,22.67,0,3600,0,"McNab and Bonaccorso 1995"
"8","Birds","Collocalia vanikorensis","Apodidae","Apodiformes",11.6,30,34,NA,4,-8.98,144.46,32.73,7.8,22.63,672,20.29,0,1600,0,"McNab and Bonaccorso 1995"
"9","Birds","Aegotheles cristatus","Aegothelidae","Caprimulgiformes",45.56,31,35,NA,4,-25.12,134.35,41.61,-3.3,36.7,3306,43.47,6.77,1000,0,"Doucette and Geiser 2008"
"10","Birds","Podargus strigoides","Podargidae","Caprimulgiformes",380.3,30,38,"1a",8,-26.84,133.46,41.61,-3.3,33.26,3286,43.47,10.21,NA,NA,"McNab and Bonaccorso 1995"
"11","Birds","Colius colius","Coliidae","Coliiformes",40.2,29,35,NA,6,-26.09,20.78,37.02,-3.58,17.87,732,35.02,17.16,NA,NA,"McKechnie and Lovegrove 2001a"
"12","Birds","Colius striatus","Coliidae","Coliiformes",51,25,42,NA,17,-9.06,26.56,41.77,-3.52,51.92,3599,35.02,0,2800,0,"Bartholomew et al., 1970"
"13","Birds","Urocolius macrourus","Coliidae","Coliiformes",51.3,29,33,"2",4,5.88,15.93,43.51,3.7,29.1,2655,20.43,0,2000,0,"Prinzinger 1988"
"14","Birds","Caloenas nicobarica","Columbidae","Columbiformes",613,25,37,"1a",12,3.95,127.69,33.5,14.34,31.38,610,19.64,0,700,0,"McNab 2000"
"15","Birds","Columba livia","Columbidae","Columbiformes",467,23,36.5,NA,13.5,9.21,0.04,46.33,-39.18,111.94,13137,65.18,0,NA,NA,"McNab 2000"
"16","Birds","Columba vitiensis","Columbidae","Columbiformes",467.9,22,34,NA,12,-1.51,0.04,34.21,6.58,42.31,821,22.67,0,2750,0,"McNab 2000"
"17","Birds","Columbina inca","Columbidae","Columbiformes",41.5,32,35,"1a",3,22.85,-99.68,41.81,-11.28,28.09,1251,36.9,8.81,3000,0,"MacMillen and Trost 1967"
"18","Birds","Drepanoptila holosericea","Columbidae","Columbiformes",198,27,33,"2",6,-21.29,165.67,29.4,13.2,2.77,16,22.67,19.9,NA,NA,"Schleucher 2002"
"19","Birds","Ducula bicolor","Columbidae","Columbiformes",453,26,36,"1a",10,5.88,113.51,37.59,11.74,29.1,927,20.43,0,1100,0,"McNab 2000"
"20","Birds","Ducula pacifica","Columbidae","Columbiformes",333.4,27.5,36,"1a",8.5,-11.68,0.04,30.88,13.2,21.98,60,22.67,0.69,1000,0,"McNab 2000"
"21","Birds","Ducula pinon","Columbidae","Columbiformes",583.8,23,37,"1a",14,-5.84,142.02,32.73,8.12,11.68,404,11.74,0,900,0,"McNab 2000"
"22","Birds","Ducula pistrinaria","Columbidae","Columbiformes",394.2,27,35,"1a",8,-6.21,152.65,31.25,18.38,9.52,110,10.98,1.45,600,0,"McNab 2000"
"23","Birds","Ducula radiata","Columbidae","Columbiformes",333.6,22,37,"1a",15,-2.02,122.03,32.25,13.85,7.21,112,5.63,0,2400,200,"McNab 2000"
"24","Birds","Ducula rubricera","Columbidae","Columbiformes",418.8,24,36,"1a",12,-6.59,154.91,31,18.38,8.76,99,10.98,2.21,1100,0,"McNab 2000"
"25","Birds","Ducula rufigaster","Columbidae","Columbiformes",376.7,26,35,"1a",9,-5.26,140.34,32.73,7.24,10.53,396,10.59,0.07,1200,0,"McNab 2000"
"26","Birds","Ducula zoeae","Columbidae","Columbiformes",456.2,19,32,NA,13,-5.45,141.93,32.73,6.93,10.28,407,10.59,0.31,1450,0,"McNab 2000"
"27","Birds","Geopelia cuneata","Columbidae","Columbiformes",39,34,45,"2",11,-23.67,132.59,41.61,-1.21,26.16,2457,36.75,10.59,NA,NA,"Schleucher et al., 1991"
"28","Birds","Geophaps plumifera","Columbidae","Columbiformes",89,33,39,NA,6,-21,129.6,41.61,2.09,14.66,922,28.32,13.67,NA,NA,"Withers and Williams 1990, Williams et al., 1995"
"29","Birds","Goura cristata","Columbidae","Columbiformes",2313.4,19,35,"1a",16,-2.21,131.91,31.4,15.73,4.42,92,4.49,0,500,0,"McNab 2000"
"30","Birds","Gymnophaps albertisii","Columbidae","Columbiformes",241.6,22,36,NA,14,-5.45,140.17,32.73,6.58,10.28,320,10.59,0.31,3350,0,"McNab 2000"
