"","species","below.maxtemp","above.maxtemp","below.mintemp","above.mintemp","maxtemp.loc","mintemp.loc","meantemp.loc","nobs","maxcrit","mincrit"
"1","Macaca fuscata",68,0,68,0,27.8174873800839,-3.92925940979929,11.3027505594141,68,35,32.5
"2","Pecari tajacu",1056,453,1509,0,33.0716965285416,9.38260640112579,21.4909528080717,1509,35,28
"3","Steatomys pratensis",20,11,31,0,31.5217098113029,11.5852016095192,22.2298629514633,31,32,28
"4","Eulemur fulvus",74,0,74,0,30.2747635970245,12.180341897784,21.6181501311225,74,40,30
"5","Aethopyga christinae",306,101,407,0,31.404057027081,10.6122539774938,21.3644078767856,407,32,25
"6","Guira guira",6231,859,7090,0,30.0296483616903,9.19199106698135,20.0364142407819,7090,33,27
"7","Tamiasciurus hudsonicus",4032,258,4290,0,21.9998829342546,-14.4091822451419,4.84496591782267,4290,27,15
"8","Gallirallus australis",916,0,916,0,18.7517332806858,3.05207021442912,11.1927746425029,916,38,30
"9","Amadina fasciata",1819,55,1874,0,32.3392634274738,8.69067516871266,21.3287124837348,1874,38,31
"10","Petauroides volans",5059,4279,9338,0,24.979962301959,3.25092132037477,14.7882037921084,9338,25,18
