"","species","below.maxtemp","above.maxtemp","below.mintemp","above.mintemp","maxtemp.loc","mintemp.loc","meantemp.loc","nobs","maxcrit","mincrit"
"1","Macaca fuscata",68,0,68,0,32.5723762512207,-11.2797498703003,11.3027505594141,68,35,32.5
"2","Pecari tajacu",1056,453,1509,0,42.2400016784668,-13.1094999313354,21.4909528080717,1509,35,28
"3","Steatomys pratensis",20,11,31,0,36.3127479553223,1.64674997329712,22.2298629514633,31,32,28
"4","Eulemur fulvus",74,0,74,0,35.5537490844727,-3.63575005531311,21.6181501311225,74,40,30
"5","Aethopyga christinae",306,101,407,0,33.9440002441406,-3.27025008201599,21.3644078767856,407,32,25
"6","Guira guira",6231,859,7090,0,36.0989990234375,-6.59224987030029,20.0364142407819,7090,33,27
"7","Tamiasciurus hudsonicus",4032,258,4290,0,35.086498260498,-36.007251739502,4.84496591782267,4290,27,15
"8","Gallirallus australis",916,0,916,0,31.9559459686279,-5.29899978637695,11.1927746425029,916,38,30
"9","Amadina fasciata",1819,55,1874,0,41.7137489318848,-11.5157499313354,21.3287124837348,1874,38,31
"10","Petauroides volans",5059,4279,9338,0,35.3442497253418,-4.53249979019165,14.7882037921084,9338,25,18
"11","Macaca fuscata",68,0,68,0,32.5723762512207,-11.2797498703003,11.3027505594141,68,35,32.5
"12","Pecari tajacu",1056,453,1509,0,42.2400016784668,-13.1094999313354,21.4909528080717,1509,35,28
"13","Steatomys pratensis",20,11,31,0,36.3127479553223,1.64674997329712,22.2298629514633,31,32,28
"14","Eulemur fulvus",74,0,74,0,35.5537490844727,-3.63575005531311,21.6181501311225,74,40,30
"15","Aethopyga christinae",306,101,407,0,33.9440002441406,-3.27025008201599,21.3644078767856,407,32,25
"16","Guira guira",6231,859,7090,0,36.0989990234375,-6.59224987030029,20.0364142407819,7090,33,27
"17","Tamiasciurus hudsonicus",4032,258,4290,0,35.086498260498,-36.007251739502,4.84496591782267,4290,27,15
"18","Gallirallus australis",916,0,916,0,31.9559459686279,-5.29899978637695,11.1927746425029,916,38,30
"19","Amadina fasciata",1819,55,1874,0,41.7137489318848,-11.5157499313354,21.3287124837348,1874,38,31
"20","Petauroides volans",5059,4279,9338,0,35.3442497253418,-4.53249979019165,14.7882037921084,9338,25,18
