"","Species","taxonKey","nObs","common.names"
"1","Scalopus aquaticus",2436230,4587,"eastern mole"
"2","Condylura cristata",2436248,1413,"star-nosed mole"
"3","Neurotrichus gibbsii",2436208,2498,"American Shrew Mole"
"4","Sorex cinereus",2435964,30565,"cinereus shrew"
"5","Sorex minutus",7571319,25349,"Eurasian pygmy shrew"
"6","Notiosorex crawfordi",2435812,1614,"Desert shrew"
"7","Neomys fodiens",2435767,14423,"Eurasian water shrew"
"8","Neomys anomalus",7825895,3243,"southern water shrew"
"9","Blarina brevicauda",2435862,15858,"short-tailed shrew"
"10","Tupaia glis",2436271,501,"common tree shrew"
"11","Tupaia belangeri",2436268,573,"northern tree shrew"
"12","Spalax leucodon",4264696,536,"lesser mole rat"
"13","Tachyoryctes splendens",2438337,766,"East African mole rat"
"14","Tamias merriami",2437444,1398,"Merriam's chipmunk"
"15","Tamias minimus",2437432,12927,"least chipmunk"
"16","Tamias striatus",2437438,11155,"eastern chipmunk"
"17","Spermophilus lateralis",2437297,1767,"golden-mantled ground squirrel"
"18","Cynomys ludovicianus",2437232,3042,"black-tailed prairie dog"
"19","Tamiasciurus hudsonicus",2437282,18694,"American red squirrel"
"20","Ammospermophilus leucurus",2437570,4964,"white-tailed antelope squirrel"
"21","Spermophilus beecheyi",2437293,1322,"California ground squirrel"
"22","Pedetes capensis",5219942,463,"springhare"
"23","Spalacopus cyanus",2439602,56,"coruro"
"24","Octodontomys gliroides",2439604,60,"Mountain Degu"
"25","Octodon degus",5219900,497,"degu"
"26","Steatomys pratensis",2438739,442,"Fat mouse"
"27","Saccostomus campestris",2438948,1271,"pouched mouse"
"28","Acomys cahirinus",9800308,1493,"Egyptian spiny mouse"
"29","Aepyprymnus rufescens",2440030,3171,"rufous rat-kangaroo"
"30","Meriones unguiculatus",5219721,277,"Mongolian gerbil"
"31","Cannomys badius",2438494,52,"lesser bamboo rat"
"32","Pseudomys hermannsburgensis",5219796,10102,"sandy inland mouse"
"33","Notomys alexis",2438970,5284,"Spinifex hopping mouse"
"34","Notomys cervinus",2438974,451,"Fawn hopping mouse"
"35","Thallomys paedulcus",2437942,110,"Acacia rat"
"36","Apodemus speciosus",5219745,461,"large Japanese field mouse"
"37","Apodemus agrarius",2437761,8275,"Eurasian field mouse"
"38","Baiomys taylori",2438866,5200,"northern pygmy mouse"
"39","Mus macedonicus",2438783,39,"Macedonian mouse"
"40","Apodemus mystacinus",2437773,844,"broad-toothed field mouse"
"41","Otomys irroratus",5219869,548,"Vlei rat"
"42","Dipodillus dasyurus",4264993,326,"Wagner's dipodil"
"43","Gerbillus nanus",2437788,543,"Baluchistan gerbil"
"44","Gerbillus andersoni",2437786,375,"Anderson's gerbil"
"45","Gerbillurus tytonis",2438752,97,"Dune Hairy-footed Gerbil"
"46","Gerbillurus vallinus",2438750,126,"brush-tailed hairy-footed gerbil"
"47","Gerbillurus setzeri",2438753,69,"Setzer's Hairy-footed Gerbil"
"48","Akodon azarae",2437878,3726,"Azara's grass mouse"
"49","Rattus villosissimus",2439256,3780,"long-haired rat"
"50","Rattus fuscipes",2439233,72847,"bush rat"
"51","Mus musculus",7429082,97955,"house mouse"
"52","Gerbillus pusillus",2437822,28,"least gerbil"
"53","Gerbillurus paeba",2438751,2365,"Hairy-footed Gerbil"
"54","Micaelamys namaquensis",4264922,3123,"Namaqua Micaelamys"
"55","Auliscomys boliviensis",2438834,148,"Bolivian big-eared mouse"
"56","Abrothrix andinus",4265099,264,"Andean akodont"
"57","Abrothrix longipilis",4265092,5328,"long-haired grass mouse"
"58","Hystrix africaeaustralis",5219885,582,"Cape porcupine"
"59","Chaetodipus hispidus",2439583,4240,"hispid pocket mouse"
"60","Dipodomys deserti",2439535,2500,"desert kangaroo rat"
